gene,omics,ENTREZID
VCAM1,rna,7412.0
TEFM,rna,79736.0
FAM72C,cnv,554282.0
NDE1,rna,54820.0
NDUFAF5,rna,79133.0
TMC5,rna,79838.0
CNOT6,rna,57472.0
MSH6,rna,2956.0
C16orf58,rna,64755.0
SLC17A4,rna,10050.0
RCAN1,rna,1827.0
SMCP,rna,4184.0
SOCS5,rna,9655.0
CCL19,rna,6363.0
XYLT2,rna,64132.0
CEACAM6,rna,4680.0
GLI1,rna,2735.0
RAP2A,rna,5911.0
RGS10,rna,6001.0
SEC24D,rna,9871.0
CACNA1D,rna,776.0
SNF8,rna,11267.0
FOXL2,rna,668.0
OLFML2A,rna,169611.0
ICA1,rna,3382.0
GAL,rna,51083.0
KIF16B,rna,55614.0
EIF3A,rna,8661.0
ART4,rna,420.0
GCH1,rna,2643.0
PAM,rna,5066.0
RGS10,rna,6001.0
GUCY1A2,rna,2977.0
KCTD15,rna,79047.0
HTR5A,rna,3361.0
HEBP1,rna,50865.0
SYT13,rna,57586.0
HPS1,rna,3257.0
IGFBP5,rna,3488.0
CD58,rna,965.0
PDZRN3,rna,23024.0
GCH1,rna,2643.0
NOTCH2,rna,4853.0
FOXF2,rna,2295.0
GLIPR1,rna,11010.0
ST18,rna,9705.0
GUCY1A2,rna,2977.0
NMNAT2,rna,23057.0
CKB,rna,1152.0
TCTN1,rna,79600.0
IZUMO1R,cnv,390243.0
LOC388813,cnv,388813.0
TIMM8B,cnv,26521.0
TMPRSS13,cnv,84000.0
LMO3,rna,55885.0
HPS1,rna,3257.0
NIT2,rna,56954.0
HEATR1,rna,55127.0
SLC35D2,rna,11046.0
CACNA1D,rna,776.0
FAM160B2,rna,64760.0
ASRGL1,rna,80150.0
EXO5,rna,64789.0
DCUN1D5,cnv,84259.0
RASSF7,rna,8045.0
SEC14L3,rna,266629.0
SLC41A3,rna,54946.0
SDC1,rna,6382.0
ORC4,rna,5000.0
HIP1,rna,3092.0
LRRC49,rna,54839.0
PTPRO,rna,5800.0
AVPR1A,rna,552.0
HSPA1A,rna,3303.0
ZMYND11,rna,10771.0
APPBP2,rna,10513.0
LEPROTL1,rna,23484.0
PTPRZ1,rna,5803.0
PCDH12,rna,51294.0
C3orf14,rna,57415.0
PDS5A,rna,23244.0
HMG20A,rna,10363.0
GALNT14,rna,79623.0
ATF7IP2,rna,80063.0
PRAME,rna,23532.0
PLCG2,rna,5336.0
MRPS18A,rna,55168.0
SCGB1D2,rna,10647.0
KCTD14,rna,65987.0
FAM182B,rna,728882.0
ALDH3B1,rna,221.0
EHD2,rna,30846.0
CNN2,rna,1265.0
FSTL3,rna,10272.0
PDS5B,rna,23047.0
POLA1,rna,5422.0
PIEZO1,rna,9780.0
STX4,rna,6810.0
SCG3,rna,29106.0
SH3GL2,rna,6456.0
ATP6V0E1,rna,8992.0
MOGS,rna,7841.0
ACYP1,rna,97.0
NPC2,rna,10577.0
THOC2,rna,57187.0
PCNA,rna,5111.0
IL15RA,rna,3601.0
RAB11FIP5,rna,26056.0
SLC31A2,rna,1318.0
NUSAP1,rna,51203.0
CERS2,rna,29956.0
PARP1,rna,142.0
NCAPG2,rna,54892.0
NCAPD3,rna,23310.0
SETBP1,rna,26040.0
DCK,rna,1633.0
ASRGL1,rna,80150.0
USP1,rna,7398.0
WBP1L,rna,54838.0
GNG4,rna,2786.0
LAMB2,rna,3913.0
CNTNAP2,rna,26047.0
ZNF266,rna,10781.0
ATAD5,rna,79915.0
POLE,rna,5426.0
PCLO,rna,27445.0
TBC1D9B,rna,23061.0
PSAP,rna,5660.0
RNF10,rna,9921.0
CEACAM1,rna,634.0
TXLNG,rna,55787.0
CSNK2A1,rna,1457.0
TRIM38,rna,10475.0
IFIH1,rna,64135.0
IRF1,rna,3659.0
C12orf29,rna,91298.0
BAG3,rna,9531.0
LRP5,rna,4041.0
TNFRSF11B,rna,4982.0
KIF5C,rna,3800.0
UMOD,rna,7369.0
CSDC2,rna,27254.0
PSMG1,rna,8624.0
IFIT1,rna,3434.0
NUDT4,rna,11163.0
PLAUR,rna,5329.0
CD44,rna,960.0
EVC,rna,2121.0
PTGS2,rna,5743.0
PLD1,rna,5337.0
CXCL2,rna,2920.0
FXYD5,rna,53827.0
LGALS1,rna,3956.0
RIN3,rna,79890.0
TIMP1,rna,7076.0
FGF9,rna,2254.0
MAP3K8,rna,1326.0
PITPNM1,rna,9600.0
FAM184A,rna,79632.0
KYNU,rna,8942.0
NMI,rna,9111.0
GNG11,rna,2791.0
GSE1,rna,23199.0
IER3,rna,8870.0
MYOF,rna,26509.0
AMT,rna,275.0
PTGES,rna,9536.0
NBL1,rna,4681.0
CXCL3,rna,2921.0
CXCL1,rna,2919.0
ZC3H12A,rna,80149.0
KLF15,rna,28999.0
BSN,rna,8927.0
AXL,rna,558.0
RNF187,rna,149603.0
KIF5C,rna,3800.0
LAMB2,rna,3913.0
TUBB6,rna,84617.0
BDNF,rna,627.0
PDE2A,rna,5138.0
TOR4A,rna,54863.0
PPME1,rna,51400.0
RHBDF1,rna,64285.0
SLC4A8,rna,9498.0
FSTL3,rna,10272.0
COBLL1,rna,22837.0
ITGB5,rna,3693.0
TRIM9,rna,114088.0
RIN3,rna,79890.0
TRADD,rna,8717.0
SCG3,rna,29106.0
ELK3,rna,2004.0
DSE,rna,29940.0
FAM184A,rna,79632.0
SLC16A10,rna,117247.0
TMEM156,rna,80008.0
RRAS,rna,6237.0
KLF2,rna,10365.0
RFXAP,rna,5994.0
ANXA1,rna,301.0
NT5E,rna,4907.0
LAMC1,rna,3915.0
DRAM1,rna,55332.0
TTLL7,rna,79739.0
SCAPER,rna,49855.0
EVA1B,rna,55194.0
NCAM1,rna,4684.0
DOCK1,rna,1793.0
RHOC,rna,389.0
NBL1,rna,4681.0
CSTB,rna,1476.0
CTSB,rna,1508.0
SMAGP,rna,57228.0
LAMB2,rna,3913.0
FOSL1,rna,8061.0
BCOR,rna,54880.0
TOR4A,rna,54863.0
CSTF2T,cnv,23283.0
EHD3,rna,30845.0
RFXANK,rna,8625.0
UNG,rna,7374.0
TYR,rna,7299.0
OSTM1,rna,28962.0
CAP2,rna,10486.0
UPF3B,rna,65109.0
UBAC1,rna,10422.0
EIF4E2,rna,9470.0
PDGFC,rna,56034.0
ERMAP,rna,114625.0
NUDT4,rna,11163.0
GPR171,rna,29909.0
FAF1,rna,11124.0
