"","EntrezGeneId"
"ENSG00000000003_at",7105
"ENSG00000000005_at",64102
"ENSG00000000419_at",8813
"ENSG00000000457_at",57147
"ENSG00000000460_at",55732
"ENSG00000000938_at",2268
"ENSG00000000971_at",3075
"ENSG00000001036_at",2519
"ENSG00000001084_at",2729
"ENSG00000001167_at",4800
"ENSG00000001460_at",90529
"ENSG00000001461_at",57185
"ENSG00000001497_at",81887
"ENSG00000001561_at",22875
"ENSG00000001617_at",6405
"ENSG00000001626_at",1080
"ENSG00000001629_at",54467
"ENSG00000001631_at",889
"ENSG00000002016_at",5893
"ENSG00000002079_at",NA
"ENSG00000002330_at",572
"ENSG00000002549_at",51056
"ENSG00000002586_at",4267
"ENSG00000002587_at",9957
"ENSG00000002726_at",26
"ENSG00000002745_at",51384
"ENSG00000002746_at",23072
"ENSG00000002822_at",8379
"ENSG00000002834_at",3927
"ENSG00000002919_at",29916
"ENSG00000002933_at",55365
"ENSG00000003056_at",4074
"ENSG00000003096_at",90293
"ENSG00000003137_at",56603
"ENSG00000003147_at",3382
"ENSG00000003249_at",79007
"ENSG00000003393_at",57679
"ENSG00000003400_at",843
"ENSG00000003402_at",8837
"ENSG00000003436_at",7035
"ENSG00000003509_at",55471
"ENSG00000003756_at",10181
"ENSG00000003987_at",9108
"ENSG00000003989_at",6542
"ENSG00000004059_at",381
"ENSG00000004139_at",23098
"ENSG00000004142_at",26073
"ENSG00000004399_at",23129
"ENSG00000004455_at",204
"ENSG00000004468_at",952
"ENSG00000004478_at",2288
"ENSG00000004487_at",23028
"ENSG00000004534_at",10180
"ENSG00000004660_at",84254
"ENSG00000004700_at",5965
"ENSG00000004766_at",55610
"ENSG00000004776_at",126393
"ENSG00000004777_at",115703
"ENSG00000004779_at",4706
"ENSG00000004799_at",5166
"ENSG00000004809_at",85413
"ENSG00000004838_at",51364
"ENSG00000004846_at",340273
"ENSG00000004848_at",170302
"ENSG00000004864_at",10165
"ENSG00000004866_at",7982
"ENSG00000004897_at",NA
"ENSG00000004939_at",6521
"ENSG00000004948_at",799
"ENSG00000004961_at",3052
"ENSG00000004975_at",1856
"ENSG00000005001_at",64063
"ENSG00000005007_at",5976
"ENSG00000005020_at",8935
"ENSG00000005022_at",292
"ENSG00000005059_at",55013
"ENSG00000005073_at",3207
"ENSG00000005075_at",5439
"ENSG00000005102_at",4222
"ENSG00000005108_at",221981
"ENSG00000005156_at",3980
"ENSG00000005175_at",79657
"ENSG00000005187_at",6296
"ENSG00000005189_at",81691
"ENSG00000005194_at",57019
"ENSG00000005206_at",56928
"ENSG00000005238_at",80256
"ENSG00000005243_at",51226
"ENSG00000005249_at",5577
"ENSG00000005302_at",10943
"ENSG00000005339_at",1387
"ENSG00000005379_at",9256
"ENSG00000005381_at",4353
"ENSG00000005421_at",5444
"ENSG00000005436_at",6936
"ENSG00000005448_at",84058
"ENSG00000005469_at",54677
"ENSG00000005471_at",5244
"ENSG00000005483_at",55904
"ENSG00000005486_at",57414
"ENSG00000005513_at",30812
"ENSG00000005700_at",25998
"ENSG00000005801_at",7748
"ENSG00000005810_at",23077
"ENSG00000005812_at",26224
"ENSG00000005844_at",3683
"ENSG00000005882_at",5164
"ENSG00000005884_at",3675
"ENSG00000005889_at",7543
"ENSG00000005893_at",3920
"ENSG00000005961_at",3674
"ENSG00000005981_at",51666
"ENSG00000006007_at",51573
"ENSG00000006015_at",55049
"ENSG00000006016_at",9244
"ENSG00000006025_at",114881
"ENSG00000006042_at",26022
"ENSG00000006047_at",51087
"ENSG00000006062_at",9020
"ENSG00000006071_at",6833
"ENSG00000006116_at",10368
"ENSG00000006118_at",54972
"ENSG00000006128_at",6863
"ENSG00000006194_at",10127
"ENSG00000006210_at",6376
"ENSG00000006282_at",64847
"ENSG00000006283_at",8913
"ENSG00000006327_at",51330
"ENSG00000006377_at",1750
"ENSG00000006432_at",4293
"ENSG00000006451_at",5898
"ENSG00000006453_at",55971
"ENSG00000006459_at",80853
"ENSG00000006468_at",2115
"ENSG00000006530_at",NA
"ENSG00000006534_at",221
"ENSG00000006555_at",55001
"ENSG00000006576_at",57157
"ENSG00000006606_at",10344
"ENSG00000006607_at",9855
"ENSG00000006611_at",10083
"ENSG00000006625_at",79017
"ENSG00000006634_at",10926
"ENSG00000006638_at",6915
"ENSG00000006652_at",3475
"ENSG00000006659_at",56891
"ENSG00000006695_at",1352
"ENSG00000006704_at",9569
"ENSG00000006712_at",54623
"ENSG00000006715_at",27072
"ENSG00000006740_at",9912
"ENSG00000006744_at",60528
"ENSG00000006747_at",85477
"ENSG00000006756_at",414
"ENSG00000006757_at",8228
"ENSG00000006788_at",8735
"ENSG00000006831_at",79602
"ENSG00000007001_at",151531
"ENSG00000007038_at",10942
"ENSG00000007047_at",57787
"ENSG00000007062_at",8842
"ENSG00000007080_at",115098
"ENSG00000007168_at",5048
"ENSG00000007171_at",4843
"ENSG00000007174_at",1770
"ENSG00000007202_at",9703
"ENSG00000007216_at",9058
"ENSG00000007237_at",8522
"ENSG00000007255_at",79090
"ENSG00000007264_at",4145
"ENSG00000007306_at",1087
"ENSG00000007312_at",974
"ENSG00000007314_at",6329
"ENSG00000007341_at",54879
"ENSG00000007350_at",8277
"ENSG00000007372_at",5080
"ENSG00000007376_at",113000
"ENSG00000007384_at",64285
"ENSG00000007392_at",55692
"ENSG00000007402_at",9254
"ENSG00000007516_at",8938
"ENSG00000007520_at",115939
"ENSG00000007541_at",9091
"ENSG00000007866_at",7005
"ENSG00000007908_at",6401
"ENSG00000007923_at",55735
"ENSG00000007933_at",2328
"ENSG00000007944_at",29116
"ENSG00000007952_at",27035
"ENSG00000007968_at",1870
"ENSG00000008018_at",5689
"ENSG00000008056_at",6853
"ENSG00000008083_at",3720
"ENSG00000008086_at",6792
"ENSG00000008118_at",57172
"ENSG00000008130_at",65220
"ENSG00000008196_at",7021
"ENSG00000008197_at",83741
"ENSG00000008226_at",9940
"ENSG00000008256_at",9265
"ENSG00000008277_at",53616
"ENSG00000008282_at",6856
"ENSG00000008283_at",1534
"ENSG00000008294_at",9043
"ENSG00000008300_at",1951
"ENSG00000008311_at",10157
"ENSG00000008323_at",55200
"ENSG00000008324_at",51188
"ENSG00000008382_at",84954
"ENSG00000008394_at",4257
"ENSG00000008405_at",1407
"ENSG00000008438_at",8993
"ENSG00000008441_at",4784
"ENSG00000008513_at",6482
"ENSG00000008516_at",64386
"ENSG00000008517_at",9235
"ENSG00000008710_at",5310
"ENSG00000008735_at",23542
"ENSG00000008838_at",9862
"ENSG00000008853_at",23221
"ENSG00000008869_at",54497
"ENSG00000008952_at",7095
"ENSG00000008988_at",6224
"ENSG00000009307_at",7812
