"","EntrezGeneId"
"A1BG",1
"A1BG-AS1",503538
"A1CF",29974
"A2M",2
"A2M-AS1",144571
"A2ML1",144568
"A2MP1",3
"A3GALT2",NA
"A4GALT",53947
"A4GNT",51146
"AA06",NA
"AAAS",8086
"AACS",65985
"AACSP1",729522
"AADAC",13
"AADACL2",344752
"AADACL2-AS1",NA
"AADACL3",126767
"AADACL4",343066
"AADACP1",NA
"AADAT",51166
"AAED1",195827
"AAGAB",79719
"AAK1",22848
"AAMDC",28971
"AAMP",14
"AANAT",15
"AAR2",25980
"AARD",441376
"AARS",16
"AARS2",57505
"AARSD1",80755
"AASDH",132949
"AASDHPPT",60496
"AASS",10157
"AATBC",NA
"AATF",NA
"AATK",9625
"AATK-AS1",388428
"ABAT",18
"ABCA1",19
"ABCA10",10349
"ABCA11P",79963
"ABCA12",26154
"ABCA13",154664
"ABCA17P",650655
"ABCA2",20
"ABCA3",21
"ABCA4",24
"ABCA5",23461
"ABCA6",23460
"ABCA7",10347
"ABCA8",10351
"ABCA9",10350
"ABCA9-AS1",NA
"ABCB1",5243
"ABCB10",23456
"ABCB11",NA
"ABCB4",5244
"ABCB5",340273
"ABCB6",10058
"ABCB8",11194
"ABCB9",23457
"ABCC1",NA
"ABCC10",89845
"ABCC11",85320
"ABCC12",94160
"ABCC13",150000
"ABCC2",1244
"ABCC3",8714
"ABCC4",10257
"ABCC5",10057
"ABCC5-AS1",100873982
"ABCC6",368
"ABCC6P1",653190
"ABCC6P2",730013
"ABCC8",6833
"ABCC9",10060
"ABCD2",225
"ABCD3",5825
"ABCD4",5826
"ABCE1",6059
"ABCF1",NA
"ABCF2",10061
"ABCF3",55324
"ABCG1",9619
"ABCG2",9429
"ABCG4",64137
"ABCG5",64240
"ABCG8",64241
"ABHD1",84696
"ABHD10",55347
"ABHD11",83451
"ABHD11-AS1",171022
"ABHD12",26090
"ABHD12B",145447
"ABHD13",84945
"ABHD14A",25864
"ABHD14A-ACY1",NA
"ABHD14B",84836
"ABHD15",116236
"ABHD16A",NA
"ABHD16B",140701
"ABHD17A",NA
"ABHD17B",NA
"ABHD17C",NA
"ABHD2",11057
"ABHD3",171586
"ABHD4",63874
"ABHD5",51099
"ABHD6",57406
"ABHD8",79575
"ABI1",10006
"ABI2",10152
"ABI3",51225
"ABI3BP",25890
"ABL1",25
"ABL2",27
"ABLIM1",3983
"ABLIM2",84448
"ABLIM3",22885
"ABO",28
"ABR",NA
"ABRA",137735
"ABRACL",58527
"ABT1",29777
"ABTB1",80325
"ABTB2",25841
"ACAA1",30
"ACAA2",10449
"ACACA",NA
"ACACB",32
"ACAD10",80724
"ACAD11",84129
"ACAD8",27034
"ACAD9",28976
"ACADL",33
"ACADM",34
"ACADS",35
"ACADSB",36
"ACADVL",37
"ACAN",176
"ACAP1",9744
"ACAP2",23527
"ACAP3",116983
"ACAT1",38
"ACAT2",39
"ACBD3",64746
"ACBD4",79777
"ACBD5",91452
"ACBD6",NA
"ACBD7",414149
"ACCS",84680
"ACCSL",390110
"ACD",65057
"ACE",1636
"ACER1",125981
"ACER2",340485
"ACER3",55331
"ACHE",43
"ACIN1",22985
"ACKR1",NA
"ACKR2",NA
"ACKR3",NA
"ACKR4",NA
"ACLY",47
"ACMSD",130013
"ACN9",57001
"ACO1",48
